Date,SPY,QQQ,TLT,GLD
2024-01-02,100.00,100.00,100.00,100.00
2024-01-09,101.20,101.80,100.40,100.70
2024-01-16,100.80,102.10,101.10,101.30
2024-01-23,102.40,104.20,100.60,101.10
2024-01-30,103.10,105.00,101.00,102.00
2024-02-06,104.30,106.40,100.20,103.40
2024-02-13,103.70,105.80,101.30,104.10
2024-02-20,105.10,108.20,101.70,104.80
2024-02-27,106.00,109.50,100.90,105.60
2024-03-05,105.60,108.90,101.80,106.10
2024-03-12,107.20,111.30,101.20,106.80
2024-03-19,108.10,112.40,102.40,107.30
2024-03-26,109.00,113.90,103.20,108.50
2024-04-02,107.60,111.80,104.30,109.20
2024-04-09,106.90,110.70,105.10,110.10
2024-04-16,108.40,112.60,104.70,109.70
2024-04-23,109.30,114.10,105.80,110.80
2024-04-30,110.20,115.30,106.40,111.40
2024-05-07,111.70,117.20,105.90,112.20
2024-05-14,112.30,118.10,106.70,112.90
2024-05-21,111.80,117.50,107.20,113.60
2024-05-28,113.10,119.40,106.80,114.20
2024-06-04,114.00,121.00,107.50,115.00
2024-06-11,113.40,120.20,108.30,115.80
2024-06-18,115.20,122.80,107.90,116.10
2024-06-25,116.10,124.40,108.60,116.90
2024-07-02,115.50,123.30,109.40,117.60
2024-07-09,117.00,125.60,110.20,118.30
2024-07-16,116.40,124.20,111.10,119.40
2024-07-23,118.20,127.00,110.70,119.10
2024-07-30,119.10,128.40,111.50,120.20
2024-08-06,117.80,126.10,112.70,121.30
2024-08-13,116.90,124.80,113.40,122.00
2024-08-20,118.40,126.70,112.90,121.60
2024-08-27,119.30,128.30,113.70,122.40
2024-09-03,120.10,129.80,114.50,123.20
2024-09-10,121.00,131.20,115.30,124.30
2024-09-17,120.40,130.10,116.20,125.10
2024-09-24,122.20,132.90,115.80,124.70
2024-10-01,123.00,134.20,116.70,125.60
2024-10-08,121.70,132.00,117.80,126.40
2024-10-15,120.90,130.70,118.60,127.20
2024-10-22,122.50,132.60,118.10,126.90
2024-10-29,123.60,134.50,119.00,127.80
2024-11-05,124.80,136.30,118.40,128.70
2024-11-12,125.70,137.90,119.30,129.10
2024-11-19,126.50,139.40,120.10,130.00
2024-11-26,127.40,141.00,119.70,130.80
2024-12-03,128.20,142.20,120.50,131.60
2024-12-10,127.60,141.30,121.40,132.20
2024-12-17,129.10,143.80,120.90,132.90
2024-12-24,130.00,145.20,121.80,133.70
